Station Num,Latitude,Longitude
367+00,35.49268643, -78.57352714 
368+00,35.49295477, -78.5736029 
369+00,35.49322079, -78.57368139 
370+00,35.49348996, -78.57374966 
371+00,35.49375845, -78.57382145 
372+00,35.49402743, -78.57388838 
373+00,35.49429469, -78.57396905 
374+00,35.49456189, -78.57404737 
375+00,35.49482962, -78.57412119 
376+00,35.49509801, -78.57419309 
377+00,35.49536556, -78.57427175 
378+00,35.49563168, -78.5743536 
379+00,35.49589955, -78.57442837 
380+00,35.49616739, -78.57450313 
381+00,35.49643693, -78.57456723 
382+00,35.49670556, -78.57463775 
383+00,35.49697605, -78.57469194 
384+00,35.49724436, -78.5747714 
385+00,35.49750933, -78.57485774 
386+00,35.4977773, -78.57492783 
387+00,35.49804628, -78.57499691 
388+00,35.49831388, -78.57507467 
389+00,35.49858138, -78.57515138 
390+00,35.49884962, -78.57522279 
391+00,35.49911836, -78.575292 
392+00,35.49938824, -78.57535147 
393+00,35.49965913, -78.57540922 
394+00,35.49992868, -78.57547689 
395+00,35.50019701, -78.57554904 
396+00,35.50046478, -78.57562569 
397+00,35.50073106, -78.57571024 
398+00,35.50099843, -78.57578293 
399+00,35.50126704, -78.57585598 
400+00,35.50153397, -78.57593566 
401+00,35.50180173, -78.57600969 
402+00,35.50206965, -78.5760842 
403+00,35.50233859, -78.57614848 
404+00,35.50260884, -78.57621161 
405+00,35.50287666, -78.5762886 
406+00,35.50314525, -78.57635679 
407+00,35.50341445, -78.57642567 
408+00,35.50368259, -78.57649994 
409+00,35.50394987, -78.57657734 
410+00,35.50421736, -78.57665235 
411+00,35.50448625, -78.57672202 
412+00,35.50475477, -78.57679356 
413+00,35.50502305, -78.57686642 
414+00,35.50529097, -78.57694093 
415+00,35.50555899, -78.57701695 
416+00,35.50582502, -78.57710088 
417+00,35.50609288, -78.57717334 
418+00,35.50636073, -78.57724835 
419+00,35.50662937, -78.57731442 
420+00,35.50690002, -78.57737518 
421+00,35.5071693, -78.57743826 
422+00,35.50744017, -78.5774977 
423+00,35.50770748, -78.57757847 
424+00,35.50797202, -78.57766492 
425+00,35.50824032, -78.57773893 
426+00,35.5085083, -78.5778123 
427+00,35.50877609, -78.57788944 
428+00,35.5090424, -78.57797223 
429+00,35.5093104, -78.57804469 
430+00,35.509578, -78.57812072 
431+00,35.50984597, -78.57819356 
432+00,35.5101147, -78.5782634 
433+00,35.51038344, -78.57833361 
434+00,35.51065142, -78.57840927 
435+00,35.51091957, -78.57847724 
436+00,35.51118958, -78.57852775 
437+00,35.51146447, -78.57855042 
438+00,35.51173252, -78.57863169 
439+00,35.51199744, -78.57872555 
440+00,35.51226224, -78.57880476 
441+00,35.51252998, -78.57888025 
442+00,35.51279752, -78.57895696 
443+00,35.5130647, -78.57903824 
444+00,35.51332997, -78.57911563 
445+00,35.5136016, -78.5791647 
446+00,35.51387476, -78.57918149 
447+00,35.51414847, -78.57919658 
448+00,35.51442323, -78.57919851 
449+00,35.51469815, -78.57920777 
450+00,35.51491378, -78.57923213 
451+00,35.51518929, -78.57922122 
452+00,35.51546276, -78.57919053 
453+00,35.51579529, -78.5791511 
454+00,35.51606956, -78.57917129 
455+00,35.51628441, -78.57921433 
456+00,35.51661819, -78.57917806 
457+00,35.5168928, -78.5791851 
